County,POP2010,LILATracts_1And10,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic
Allegany,3718,1,3628,35,5,0,11,39,31
Allegany,4564,0,3635,856,20,1,2,50,364
Allegany,2780,0,2644,79,2,1,3,51,27
Allegany,3022,1,2777,149,16,4,7,69,16
Allegany,2734,1,2287,334,27,1,6,79,42
Allegany,2965,0,2666,181,18,2,12,86,29
Allegany,3387,0,3103,163,14,0,6,101,28
Allegany,2213,0,2029,105,7,0,5,67,16
Allegany,2547,0,2254,162,10,6,7,108,45
Allegany,1493,0,1378,70,11,0,0,34,16
Allegany,3164,1,2833,136,99,3,2,91,59
Allegany,5268,1,2756,2448,8,2,3,51,34
Allegany,4110,0,3948,34,70,0,4,54,37
Allegany,1589,1,1520,28,16,0,2,23,3
Allegany,2055,0,2008,13,5,0,4,25,17
Allegany,1968,0,1922,10,1,0,2,33,16
Allegany,1766,0,1697,23,20,0,3,23,33
Allegany,4818,1,4556,133,58,4,2,65,57
Allegany,5411,1,4159,993,96,5,13,145,128
Allegany,2623,0,2590,1,9,0,0,23,11
Allegany,5552,0,5370,40,43,0,12,87,43
Allegany,3466,1,3409,16,6,1,1,33,13
Allegany,3874,0,3812,19,7,1,0,35,20
Anne Arundel,4151,0,3864,95,95,1,16,80,102
Anne Arundel,7508,0,6602,185,132,1,27,561,676
Anne Arundel,8298,0,7790,144,83,1,34,246,266
Anne Arundel,7906,0,6952,633,86,8,24,203,229
Anne Arundel,3575,0,2947,487,35,0,8,98,103
Anne Arundel,6722,0,6191,251,63,9,15,193,159
Anne Arundel,4169,0,3721,163,147,1,9,128,149
Anne Arundel,5322,0,4449,503,199,1,7,163,152
Anne Arundel,6372,0,5059,785,228,7,12,281,309
Anne Arundel,6962,0,4774,1055,564,15,8,546,523
Anne Arundel,4523,0,3828,303,206,6,9,171,165
Anne Arundel,5423,0,5042,146,106,1,17,111,146
Anne Arundel,6049,0,5363,312,185,3,17,169,212
Anne Arundel,6669,0,2437,2974,146,2,14,1096,1415
Anne Arundel,5629,0,4611,675,105,2,20,216,244
Anne Arundel,6021,0,5002,685,111,3,18,202,172
Anne Arundel,4815,0,3864,638,149,0,12,152,239
Anne Arundel,3857,0,3618,61,106,0,5,67,98
Anne Arundel,3686,0,2747,768,37,1,1,132,201
Anne Arundel,4663,0,3189,1136,70,0,6,262,457
Anne Arundel,3224,0,2871,167,66,1,9,110,173
Anne Arundel,6442,1,3476,1244,183,3,25,1511,2552
Anne Arundel,3210,0,1736,1105,60,0,14,295,402
Anne Arundel,5222,0,3128,1281,126,2,17,668,831
Anne Arundel,4591,0,3383,803,76,2,1,326,388
Anne Arundel,4890,0,4013,265,190,13,25,384,552
Anne Arundel,6082,0,5226,633,51,0,20,152,156
Anne Arundel,4696,0,4248,288,34,4,19,103,141
Anne Arundel,3873,0,3526,212,33,0,16,86,105
Anne Arundel,5485,0,4354,827,34,1,37,232,161
Anne Arundel,7451,0,6440,529,181,17,27,257,287
Anne Arundel,5303,1,3105,1245,268,7,20,658,789
Anne Arundel,5723,0,3193,1926,248,12,13,331,351
Anne Arundel,3113,0,2575,270,73,2,13,180,201
Anne Arundel,4745,0,3484,679,238,8,12,324,349
Anne Arundel,6136,0,4319,1052,197,7,30,531,720
Anne Arundel,6327,0,4011,1529,415,3,26,343,296
Anne Arundel,7630,0,4966,1896,293,8,21,446,484
Anne Arundel,4599,0,2187,1590,317,9,19,477,515
Anne Arundel,3888,0,1669,1695,156,8,12,348,361
Anne Arundel,6846,0,6347,101,263,6,13,116,127
Anne Arundel,3107,0,2670,192,109,1,14,121,88
Anne Arundel,6748,0,5909,398,255,5,12,169,176
Anne Arundel,6978,0,6447,243,139,1,9,139,173
Anne Arundel,2456,0,2337,44,34,1,2,38,64
Anne Arundel,2608,0,2055,397,54,2,11,89,114
Anne Arundel,4075,0,3656,186,91,0,1,141,200
Anne Arundel,3234,0,2757,332,46,6,5,88,225
Anne Arundel,4387,0,4010,150,73,0,12,142,185
Anne Arundel,4258,0,3831,226,63,3,12,123,203
Anne Arundel,7750,0,7114,243,161,1,16,215,256
